DEBUG : 2021-06-26 22:04:31,274 I2c loop starts...
DEBUG : 2021-06-26 22:04:31,514 Objects created
DEBUG : 2021-06-26 22:04:31,515 Processes start...
INFO : 2021-06-26 22:04:32,103 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.04, 'p': 1000.1587, 'h': 52.27, 'rt': 26.35}, {'ox': 11456.0, 'red': 488465.0, 'nh3': 92539.0}, 0.95, 0))
INFO : 2021-06-26 22:04:34,352 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.05, 'p': 1000.1529, 'h': 52.08, 'rt': 26.4}, {'ox': 11448.0, 'red': 488465.0, 'nh3': 92298.0}, 21.83, 0))
INFO : 2021-06-26 22:04:34,555 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.05, 'p': 1000.1594, 'h': 52.15, 'rt': 26.4}, {'ox': 11448.0, 'red': 488465.0, 'nh3': 92178.0}, 21.77, 0))
INFO : 2021-06-26 22:04:34,757 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.05, 'p': 1000.1582, 'h': 52.22, 'rt': 26.35}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 92178.0}, 21.87, 0))
INFO : 2021-06-26 22:04:34,957 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.05, 'p': 1000.1561, 'h': 52.41, 'rt': 26.4}, {'ox': 11448.0, 'red': 488465.0, 'nh3': 92178.0}, 21.88, 1))
INFO : 2021-06-26 22:04:35,153 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.05, 'p': 1000.1672, 'h': 52.07, 'rt': 26.4}, {'ox': 11448.0, 'red': 488465.0, 'nh3': 92178.0}, 21.87, 0))
INFO : 2021-06-26 22:04:35,355 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.05, 'p': 1000.1606, 'h': 52.17, 'rt': 26.35}, {'ox': 11448.0, 'red': 488465.0, 'nh3': 92178.0}, 21.91, 0))
INFO : 2021-06-26 22:04:35,389 (<MessageType.BTN_MESSAGE: 3>, <ButtonType.NEXT: 1>)
INFO : 2021-06-26 22:04:35,551 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.05, 'p': 1000.1567, 'h': 52.41, 'rt': 26.35}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 92178.0}, 17.21, 2047))
INFO : 2021-06-26 22:04:35,743 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.05, 'p': 1000.1542, 'h': 55.42, 'rt': 26.35}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 92058.0}, 0.19, 2047))
INFO : 2021-06-26 22:04:35,941 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.07, 'p': 1000.1499, 'h': 58.38, 'rt': 26.4}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 92058.0}, 0.21, 2047))
INFO : 2021-06-26 22:04:36,133 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.09, 'p': 1000.147, 'h': 61.3, 'rt': 26.35}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 92178.0}, 0.15, 2047))
INFO : 2021-06-26 22:04:36,332 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.11, 'p': 1000.1649, 'h': 63.52, 'rt': 26.4}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 92058.0}, 0.17, 2047))
INFO : 2021-06-26 22:04:36,531 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.13, 'p': 1000.1747, 'h': 65.38, 'rt': 25.95}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 92058.0}, 0.19, 2047))
INFO : 2021-06-26 22:04:36,723 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.16, 'p': 1000.1701, 'h': 67.23, 'rt': 26.35}, {'ox': 11441.0, 'red': 485222.0, 'nh3': 92058.0}, 0.24, 2047))
INFO : 2021-06-26 22:04:36,921 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.18, 'p': 1000.1748, 'h': 68.46, 'rt': 26.4}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 92058.0}, 0.13, 2047))
INFO : 2021-06-26 22:04:37,112 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.2, 'p': 1000.1722, 'h': 69.67, 'rt': 26.4}, {'ox': 11441.0, 'red': 482018.0, 'nh3': 92058.0}, 0.19, 2047))
INFO : 2021-06-26 22:04:37,312 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.21, 'p': 1000.1688, 'h': 70.34, 'rt': 26.4}, {'ox': 11441.0, 'red': 485222.0, 'nh3': 92058.0}, 0.17, 2047))
INFO : 2021-06-26 22:04:37,403 (<MessageType.BTN_MESSAGE: 3>, <ButtonType.SLEEP: 0>)
INFO : 2021-06-26 22:04:37,503 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.23, 'p': 1000.1766, 'h': 71.14, 'rt': 26.35}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 92058.0}, 0.15, 2047))
INFO : 2021-06-26 22:04:37,701 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.24, 'p': 1000.1815, 'h': 72.23, 'rt': 26.4}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 92058.0}, 0.15, 2047))
INFO : 2021-06-26 22:04:37,893 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.25, 'p': 1000.1789, 'h': 73.05, 'rt': 26.4}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 92058.0}, 0.22, 2047))
INFO : 2021-06-26 22:04:38,092 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.26, 'p': 1000.1831, 'h': 73.23, 'rt': 26.35}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 92058.0}, 0.17, 2047))
INFO : 2021-06-26 22:04:38,283 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.28, 'p': 1000.1869, 'h': 73.92, 'rt': 26.4}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 92058.0}, 0.17, 2047))
INFO : 2021-06-26 22:04:38,481 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.29, 'p': 1000.1895, 'h': 74.49, 'rt': 26.4}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 92058.0}, 0.15, 2047))
INFO : 2021-06-26 22:04:38,673 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.3, 'p': 1000.1916, 'h': 74.49, 'rt': 26.4}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 92058.0}, 0.17, 2047))
INFO : 2021-06-26 22:04:38,872 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.32, 'p': 1000.201, 'h': 74.96, 'rt': 26.35}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 91938.0}, 0.19, 2047))
INFO : 2021-06-26 22:04:39,063 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.33, 'p': 1000.2014, 'h': 75.69, 'rt': 26.4}, {'ox': 11441.0, 'red': 485222.0, 'nh3': 91938.0}, 0.24, 2047))
INFO : 2021-06-26 22:04:39,263 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.35, 'p': 1000.2047, 'h': 76.02, 'rt': 26.4}, {'ox': 11441.0, 'red': 485222.0, 'nh3': 91938.0}, 0.17, 2047))
INFO : 2021-06-26 22:04:39,424 (<MessageType.BTN_MESSAGE: 3>, <ButtonType.SLEEP: 0>)
INFO : 2021-06-26 22:04:39,475 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.37, 'p': 1000.2127, 'h': 76.27, 'rt': 26.4}, {'ox': 11441.0, 'red': 485222.0, 'nh3': 92058.0}, 0.26, 2047))
INFO : 2021-06-26 22:04:39,671 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.38, 'p': 1000.2208, 'h': 76.47, 'rt': 26.4}, {'ox': 11441.0, 'red': 485222.0, 'nh3': 91938.0}, 0.22, 2047))
INFO : 2021-06-26 22:04:39,872 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.39, 'p': 1000.2269, 'h': 77.03, 'rt': 26.4}, {'ox': 11441.0, 'red': 485222.0, 'nh3': 91938.0}, 0.13, 1129))
INFO : 2021-06-26 22:04:40,062 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.4, 'p': 1000.2155, 'h': 75.99, 'rt': 26.4}, {'ox': 11456.0, 'red': 485222.0, 'nh3': 91938.0}, 19.9, 2))
INFO : 2021-06-26 22:04:40,263 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.4, 'p': 1000.2118, 'h': 74.89, 'rt': 26.35}, {'ox': 11441.0, 'red': 485222.0, 'nh3': 91938.0}, 20.46, 0))
INFO : 2021-06-26 22:04:40,461 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.38, 'p': 1000.2096, 'h': 74.14, 'rt': 26.4}, {'ox': 11441.0, 'red': 485222.0, 'nh3': 91938.0}, 20.63, 0))
INFO : 2021-06-26 22:04:40,653 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.37, 'p': 1000.2146, 'h': 72.63, 'rt': 26.35}, {'ox': 11441.0, 'red': 485222.0, 'nh3': 91938.0}, 20.73, 0))
INFO : 2021-06-26 22:04:40,851 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.35, 'p': 1000.2078, 'h': 71.13, 'rt': 26.35}, {'ox': 11441.0, 'red': 485222.0, 'nh3': 91938.0}, 20.85, 0))
INFO : 2021-06-26 22:04:41,043 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.35, 'p': 1000.2057, 'h': 69.81, 'rt': 26.35}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 91938.0}, 21.0, 0))
INFO : 2021-06-26 22:04:41,241 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.34, 'p': 1000.2092, 'h': 68.17, 'rt': 26.35}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 91938.0}, 20.96, 0))
INFO : 2021-06-26 22:04:41,432 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.34, 'p': 1000.213, 'h': 67.07, 'rt': 26.35}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 91938.0}, 21.16, 0))
INFO : 2021-06-26 22:04:41,635 (<MessageType.I2C_MESSAGE: 1>, ({'t': 31.34, 'p': 1000.2047, 'h': 65.69, 'rt': 26.4}, {'ox': 11448.0, 'red': 485222.0, 'nh3': 91938.0}, 21.12, 3))
DEBUG : 2021-06-26 22:04:41,821 I2c loop stops...


